url,file_name,segment_number,bit_rate,file_size
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s57.m4s,BigBuckBunny_10s57.m4s,57,bunny_88482bps,121545
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s58.m4s,BigBuckBunny_10s58.m4s,58,bunny_88482bps,114337
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s59.m4s,BigBuckBunny_10s59.m4s,59,bunny_88482bps,88480
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_771359bps/BigBuckBunny_10s0.m4s,BigBuckBunny_10s0.m4s,0,bunny_771359bps,20
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_771359bps/BigBuckBunny_10s1.m4s,BigBuckBunny_10s1.m4s,1,bunny_771359bps,980907
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_771359bps/BigBuckBunny_10s2.m4s,BigBuckBunny_10s2.m4s,2,bunny_771359bps,1012467
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_771359bps/BigBuckBunny_10s3.m4s,BigBuckBunny_10s3.m4s,3,bunny_771359bps,937591
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_771359bps/BigBuckBunny_10s4.m4s,BigBuckBunny_10s4.m4s,4,bunny_771359bps,1062734
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_771359bps/BigBuckBunny_10s5.m4s,BigBuckBunny_10s5.m4s,5,bunny_771359bps,1062703
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_771359bps/BigBuckBunny_10s6.m4s,BigBuckBunny_10s6.m4s,6,bunny_771359bps,944932
